Verification log – 2026-06-04 01:10:26 UTC
Execution time: 35.7s
Total proxies tested: 294
Working proxies found: 141
------------------------------------------------------------
Timestamp                   Host:Port                      Status Ping     Region
2026-06-04T01:10:23.397382  87.248.129.5:8443              OK     0.107s   eu
2026-06-04T01:10:23.398193  195.254.165.249:25565          FAIL   -        eu
2026-06-04T01:10:23.403713  167.233.25.36:7443             OK     0.113s   eu
2026-06-04T01:10:23.408930  otklyuchi-vpn.nolags.pw:443    FAIL   -        eu
2026-06-04T01:10:23.419464  87.248.129.224:4455            OK     0.105s   eu
2026-06-04T01:10:23.430302  87.248.134.204:443             FAIL   -        eu
2026-06-04T01:10:23.432776  zara.telbet.lol:25565          OK     0.065s   eu
2026-06-04T01:10:23.432915  Shoting.forwarding-co.site.:44300 FAIL   -        eu
2026-06-04T01:10:23.442008  213.133.102.101:443            OK     0.119s   eu
2026-06-04T01:10:23.442434  87.248.129.52:15               OK     0.106s   eu
2026-06-04T01:10:23.444743  iro1.bminecraft.info.:25565    FAIL   -        eu
2026-06-04T01:10:23.456534  noron2.iranroad.casa:25565     OK     0.199s   eu
2026-06-04T01:10:23.458816  Q4.opt-meli.info:443           FAIL   -        eu
2026-06-04T01:10:23.461444  miinecrafto.com:25565          FAIL   -        eu
2026-06-04T01:10:23.461740  www.humaontop.space:443        FAIL   -        eu
2026-06-04T01:10:23.463084  87.248.129.212:25565           OK     0.104s   eu
2026-06-04T01:10:23.468138  16.171.113.106:15              FAIL   -        eu
2026-06-04T01:10:23.474691  161.97.169.231:443             OK     0.106s   eu
2026-06-04T01:10:23.478672  62.238.26.157:8443             OK     0.13s    eu
2026-06-04T01:10:23.481445  77737277.ir.fulldf.info:8443   OK     0.329s   eu
2026-06-04T01:10:23.482518  7372377377.ir.fulle7.info:8443 OK     0.131s   eu
2026-06-04T01:10:23.487583  178.105.188.16:7443            FAIL   -        eu
2026-06-04T01:10:23.489153  178.105.232.49:8443            OK     0.11s    eu
2026-06-04T01:10:23.492866  noron.parsdict.casa:25565      OK     0.336s   eu
2026-06-04T01:10:23.503110  87.248.129.14:15               OK     0.105s   eu
2026-06-04T01:10:23.513666  pro.time-meli.info:155         FAIL   -        eu
2026-06-04T01:10:23.521407  146.103.104.26:443             FAIL   -        eu
2026-06-04T01:10:23.524417  1788168686678762767777.ir.fulldf.info:8443 OK     0.121s   eu
2026-06-04T01:10:23.532789  1.telbet.lol:25565             OK     0.194s   eu
2026-06-04T01:10:23.533283  a.artishchev.org:8443          OK     0.283s   eu
2026-06-04T01:10:23.537564  euufo1o5.helper.website:443    OK     0.157s   eu
2026-06-04T01:10:23.547808  minecraft.nimagallery18.ir:4455 FAIL   -        eu
2026-06-04T01:10:23.566971  87.248.129.248:16              FAIL   -        eu
2026-06-04T01:10:23.586703  95.217.27.56:8080              OK     0.13s    eu
2026-06-04T01:10:23.594812  87.248.129.205:25565           FAIL   -        eu
2026-06-04T01:10:23.596233  80.96.112.222:443              OK     0.128s   ru
2026-06-04T01:10:23.597778  87.248.129.248:4455            FAIL   -        eu
2026-06-04T01:10:23.606820  1772677471.ir.fulle7.info:8443 OK     0.457s   eu
2026-06-04T01:10:23.608245  776.ir.fulle7.info:8443        OK     0.458s   eu
2026-06-04T01:10:23.620076  iranroad.shop:25565            OK     0.025s   eu
2026-06-04T01:10:23.627690  91.217.166.12:16               OK     0.095s   eu
2026-06-04T01:10:23.629461  028786816z3667866752876777.ir.fulldf.info:8443 OK     0.282s   eu
2026-06-04T01:10:23.630619  167.233.18.95:61016            OK     0.117s   eu
2026-06-04T01:10:23.635726  z4.ir.fulle7.info:8443         OK     0.456s   eu
2026-06-04T01:10:23.636470  213.133.102.106:443            OK     0.133s   eu
2026-06-04T01:10:23.640184  iran.protocolsix.info.:25565   OK     0.179s   eu
2026-06-04T01:10:23.641299  0078815888767766686dd77777.ir.fulldf.info:8443 OK     0.117s   eu
2026-06-04T01:10:23.643353  177267636667246371.ir.fulle7.info:8443 OK     0.289s   eu
2026-06-04T01:10:23.651297  62.238.32.249:8443             OK     0.13s    eu
2026-06-04T01:10:23.652205  5.75.222.199:8443              OK     0.115s   eu
2026-06-04T01:10:23.654742  testi.ir.fulle7.info:8443      OK     0.501s   eu
2026-06-04T01:10:23.657565  1.fulle7.info:8443             OK     0.11s    eu
2026-06-04T01:10:23.659538  9376327363678677.ir.fulle7.info:8443 OK     0.178s   eu
2026-06-04T01:10:23.671150  195.254.165.4:8443             FAIL   -        eu
2026-06-04T01:10:23.712431  195.254.165.22:8443            OK     0.105s   eu
2026-06-04T01:10:23.716762  95.216.149.83:155              FAIL   -        eu
2026-06-04T01:10:23.719398  172.65.130.177:25565           OK     0.003s   eu
2026-06-04T01:10:23.724977  r20.proxytg.space:8443         FAIL   -        eu
2026-06-04T01:10:23.726138  37.27.17.91:155                FAIL   -        eu
2026-06-04T01:10:23.733127  73727676136653270.ir.fulle7.info:8443 OK     0.291s   eu
2026-06-04T01:10:23.737137  87.248.129.247:4455            OK     0.108s   eu
2026-06-04T01:10:23.739500  73723776533677.ir.fulle7.info:8443 OK     0.457s   eu
2026-06-04T01:10:23.744741  157.90.70.229:8443             OK     0.117s   eu
2026-06-04T01:10:23.755996  k29s8d3f.mt.trattat.online:443 FAIL   -        eu
2026-06-04T01:10:23.756167  87.248.129.225:4455            FAIL   -        eu
2026-06-04T01:10:23.757934  17726737471.ir.fulle7.info:8443 OK     0.478s   eu
2026-06-04T01:10:23.759307  178.105.245.72:8443            FAIL   -        eu
2026-06-04T01:10:23.778842  57881z3775276777.ir.fulldf.info:8443 OK     0.458s   eu
2026-06-04T01:10:23.779470  z3.ir.fulle7.info:8443         OK     0.457s   eu
2026-06-04T01:10:23.784893  276881886665876777777777.ir.fulldf.info:8443 OK     0.637s   eu
2026-06-04T01:10:23.789409  57881z367752876777.ir.fulldf.info:8443 OK     0.149s   eu
2026-06-04T01:10:23.803181  0287868616z3667866752876777.ir.fulldf.info:8443 OK     0.647s   eu
2026-06-04T01:10:23.825545  57881z36775276777.ir.fulldf.info:8443 OK     0.459s   eu
2026-06-04T01:10:23.835430  z5.ir.fulle7.info:8443         OK     0.302s   eu
2026-06-04T01:10:23.835562  737727,776.ir.fulle7.info:8443 FAIL   -        eu
2026-06-04T01:10:23.848768  87.248.129.210:4455            OK     0.104s   eu
2026-06-04T01:10:23.849827  19378818886789667977767777.ir.fulldf.info:8443 OK     0.117s   eu
2026-06-04T01:10:23.851771  r18.proxytg.space:8443         FAIL   -        eu
2026-06-04T01:10:23.863604  87.248.129.200:4455            OK     0.107s   eu
2026-06-04T01:10:23.868669  737276713370.ir.fulle7.info:8443 OK     0.449s   eu
2026-06-04T01:10:23.875588  cloud.mtproxy.pw:443           OK     0.12s    ru
2026-06-04T01:10:23.892209  z399.ir.fulle7.info:8443       OK     0.459s   eu
2026-06-04T01:10:23.893898  87.248.129.248:15              OK     0.104s   eu
2026-06-04T01:10:23.895651  proxy.speedbreaker.info:25565  OK     0.027s   eu
2026-06-04T01:10:23.903867  8772773337566737.ir.fulle7.info:8443 OK     0.146s   eu
2026-06-04T01:10:23.934378  91.217.166.11:40               OK     0.099s   eu
2026-06-04T01:10:23.945948  ams1.tlgfast.com:443           OK     0.221s   eu
2026-06-04T01:10:23.949799  ams1.tlgfast.com:443           OK     0.21s    eu
2026-06-04T01:10:23.959295  tg.capycore.ru:443             OK     0.288s   eu
2026-06-04T01:10:23.969433  93763273877.ir.fulle7.info:8443 OK     0.117s   eu
2026-06-04T01:10:23.974623  111137277.ir.fulldf.info:8443  OK     0.331s   eu
2026-06-04T01:10:23.976504  997881888577776668697776777.ir.fulldf.info:8443 OK     0.667s   eu
2026-06-04T01:10:24.001184  Komatso-Japan.www.google.com.ganool-com.info:300 FAIL   -        eu
2026-06-04T01:10:24.025035  best-ruter.eyvazi-master.ir:9741 FAIL   -        eu
2026-06-04T01:10:24.025335  37.27.192.10:8443              OK     0.13s    eu
2026-06-04T01:10:24.073418  87.248.129.53:15               OK     0.104s   eu
2026-06-04T01:10:24.165432  arezoni9.ir:15                 OK     0.215s   eu
2026-06-04T01:10:24.167161  syntax.ddnscdn.sbs.:443        OK     0.142s   eu
2026-06-04T01:10:24.225410  7337777273777776.ir.fulle7.info:8443 OK     0.499s   eu
2026-06-04T01:10:24.267454  fav.dynme.ovh:9444             FAIL   -        eu
2026-06-04T01:10:24.271065  188.40.191.135:8443            OK     1.131s   eu
2026-06-04T01:10:24.320664  Mmdof.fulldf.info:8443         OK     0.153s   eu
2026-06-04T01:10:24.424182  ader.dynoporo.com:443          FAIL   -        eu
2026-06-04T01:10:24.435159  mc-ssh.t-proxyru.info.:25565   OK     0.21s    eu
2026-06-04T01:10:24.446819  fresh.t-proxy.info.:25565      OK     0.175s   eu
2026-06-04T01:10:24.533811  91.107.150.148:8443            OK     0.109s   eu
2026-06-04T01:10:24.538927  195.254.165.253:25565          FAIL   -        eu
2026-06-04T01:10:24.573117  3778818885766676767777777.ir.fulldf.info:8443 OK     0.126s   eu
2026-06-04T01:10:24.641655  87.248.129.129:15              OK     0.102s   eu
2026-06-04T01:10:24.706330  95.216.41.109:443              OK     0.133s   eu
2026-06-04T01:10:24.715992  9376273877.ir.fulle7.info:8443 OK     1.475s   eu
2026-06-04T01:10:24.721937  177267374371.ir.fulle7.info:8443 OK     1.46s    eu
2026-06-04T01:10:24.745428  mimecraft4ir.homes:25565       OK     0.039s   eu
2026-06-04T01:10:24.748966  195.254.165.23:8443            OK     0.107s   eu
2026-06-04T01:10:24.774264  form.quickdl.info:22           OK     0.24s    eu
2026-06-04T01:10:24.829910  87.248.129.246:8443            OK     0.108s   eu
2026-06-04T01:10:24.849564  87.248.129.130:15              OK     0.104s   eu
2026-06-04T01:10:24.856308  87.248.129.51:15               OK     0.107s   eu
2026-06-04T01:10:24.878244  195.254.165.252:25565          FAIL   -        eu
2026-06-04T01:10:24.934231  195.254.165.250:25565          FAIL   -        eu
2026-06-04T01:10:24.944695  91.217.166.13:16               OK     0.095s   eu
2026-06-04T01:10:25.141670  78.47.216.137:8443             FAIL   -        eu
2026-06-04T01:10:25.142732  52.47.47.90:15                 FAIL   -        eu
2026-06-04T01:10:25.143091  87.248.129.239:25565           FAIL   -        eu
2026-06-04T01:10:25.144145  87.248.132.34:70               FAIL   -        eu
2026-06-04T01:10:25.144158  91.217.166.4:20                FAIL   -        eu
2026-06-04T01:10:25.144167  178.105.237.175:7443           FAIL   -        eu
2026-06-04T01:10:25.145135  194.5.205.10:443               FAIL   -        eu
2026-06-04T01:10:25.145200  62.238.39.116:4443             FAIL   -        eu
2026-06-04T01:10:25.146126  65.109.215.115:8443            FAIL   -        eu
2026-06-04T01:10:25.146190  91.217.166.9:16                FAIL   -        eu
2026-06-04T01:10:25.149094  135.181.69.128:8443            FAIL   -        eu
2026-06-04T01:10:25.149149  51.20.91.11:15                 FAIL   -        eu
2026-06-04T01:10:25.152137  3.64.237.188:2053              FAIL   -        ru
2026-06-04T01:10:25.152147  46.225.255.143:4455            FAIL   -        eu
2026-06-04T01:10:25.153099  54.77.249.168:80               FAIL   -        eu
2026-06-04T01:10:25.154107  176.65.131.45:25565            FAIL   -        eu
2026-06-04T01:10:25.154173  178.105.195.36:8443            FAIL   -        eu
2026-06-04T01:10:25.155148  91.217.166.8:16                FAIL   -        eu
2026-06-04T01:10:25.155158  194.120.230.106:433            FAIL   -        eu
2026-06-04T01:10:25.156601  91.107.252.161:8443            FAIL   -        eu
2026-06-04T01:10:25.157053  46.225.252.107:4455            FAIL   -        eu
2026-06-04T01:10:25.158093  91.217.166.6:16                FAIL   -        eu
2026-06-04T01:10:25.159098  51.120.71.120:443              FAIL   -        eu
2026-06-04T01:10:25.160087  135.181.71.237:8443            FAIL   -        eu
2026-06-04T01:10:25.163096  vaslshid.co.uk.:85             FAIL   -        eu
2026-06-04T01:10:25.168422  gert51.mtproxygram.pro:853     FAIL   -        ru
2026-06-04T01:10:25.169282  ytrw134-4.mtproxygram.lol:853  FAIL   -        ru
2026-06-04T01:10:25.170121  www.beastmode.icu.:8888        FAIL   -        eu
2026-06-04T01:10:25.178607  kut12.mtproxygram.pro:853      FAIL   -        ru
2026-06-04T01:10:25.182841  total.beyondeson-co.cfd:443    FAIL   -        eu
2026-06-04T01:10:25.182867  big2.mtproxygram.lol:853       FAIL   -        ru
2026-06-04T01:10:25.184504  3.masi.masi.zban-mas.info:8888 FAIL   -        eu
2026-06-04T01:10:25.251850  neww1727.mtproxygram.lol:853   FAIL   -        ru
2026-06-04T01:10:25.257716  91.217.166.7:16                FAIL   -        eu
2026-06-04T01:10:25.261135  163.5.31.10:8443               FAIL   -        eu
2026-06-04T01:10:25.268618  87.248.132.38:85               FAIL   -        eu
2026-06-04T01:10:25.280192  52.212.35.240:80               FAIL   -        eu
2026-06-04T01:10:25.296155  big3.mtproxygram.lol:853       FAIL   -        ru
2026-06-04T01:10:25.308295  www.myssscript.beauty.:8888    FAIL   -        eu
2026-06-04T01:10:25.316108  87.248.132.99:8443             FAIL   -        eu
2026-06-04T01:10:25.320428  www.qatar-railways.info.:443   FAIL   -        eu
2026-06-04T01:10:25.326599  178.105.239.80:7443            FAIL   -        eu
2026-06-04T01:10:25.333091  37.49.226.110:15               FAIL   -        eu
2026-06-04T01:10:25.334863  tavakalta-alalah.info:443      FAIL   -        eu
2026-06-04T01:10:25.334940  sabr.ssboriat.co.uk:531        FAIL   -        eu
2026-06-04T01:10:25.346546  91.107.155.175:2053            FAIL   -        eu
2026-06-04T01:10:25.350125  91.217.166.9:40                FAIL   -        eu
2026-06-04T01:10:25.352086  13.62.222.53:15                FAIL   -        eu
2026-06-04T01:10:25.359019  nitro.proxytune.info.:443      FAIL   -        eu
2026-06-04T01:10:25.377405  ram.opt-meli.info:155          FAIL   -        eu
2026-06-04T01:10:25.435223  195.62.32.87:25565             FAIL   -        eu
2026-06-04T01:10:25.444632  176.65.135.65:23               FAIL   -        eu
2026-06-04T01:10:25.446907  92.246.138.184:6773            FAIL   -        eu
2026-06-04T01:10:25.470657  www.merco-karco.website:443    FAIL   -        eu
2026-06-04T01:10:25.472293  collider.web-yektanet-com.info:443 FAIL   -        eu
2026-06-04T01:10:25.476113  93.183.88.188:443              FAIL   -        eu
2026-06-04T01:10:25.480800  91.107.174.85:8443             FAIL   -        eu
2026-06-04T01:10:25.484105  194.156.103.87:443             FAIL   -        eu
2026-06-04T01:10:25.491193  91.107.182.200:8443            FAIL   -        eu
2026-06-04T01:10:25.518958  khoda.hafez.info:443           FAIL   -        eu
2026-06-04T01:10:25.544297  reboot.tikla.info:443          FAIL   -        eu
2026-06-04T01:10:25.576947  tee.mobemouy.com:443           FAIL   -        eu
2026-06-04T01:10:25.632851  178.105.240.97:61016           FAIL   -        eu
2026-06-04T01:10:25.638683  176.108.240.116:8888           FAIL   -        eu
2026-06-04T01:10:25.648700  general.irancell-ir.cfd:443    FAIL   -        eu
2026-06-04T01:10:25.656897  178.105.244.106:61016          FAIL   -        eu
2026-06-04T01:10:25.659136  212.34.135.78:443              FAIL   -        eu
2026-06-04T01:10:25.661685  91.217.166.10:16               FAIL   -        eu
2026-06-04T01:10:25.668105  VIP.alotaxi.info:4515          FAIL   -        eu
2026-06-04T01:10:25.689460  iran.zibayi.shop.:888          FAIL   -        eu
2026-06-04T01:10:25.702345  paitakht.arasto.info:443       FAIL   -        eu
2026-06-04T01:10:25.721142  16.16.187.91:80                FAIL   -        eu
2026-06-04T01:10:25.760135  185.117.0.248:443              FAIL   -        eu
2026-06-04T01:10:25.781055  46.225.248.130:4455            FAIL   -        eu
2026-06-04T01:10:25.781667  46.225.255.75:4455             FAIL   -        eu
2026-06-04T01:10:25.803824  Masi.zban-df.info:8888         FAIL   -        eu
2026-06-04T01:10:25.827966  www.lastingg.baby.:8888        FAIL   -        eu
2026-06-04T01:10:25.846743  weblog.forwarding-co.site:443  FAIL   -        eu
2026-06-04T01:10:25.852044  178.104.221.250:8443           FAIL   -        eu
2026-06-04T01:10:25.873319  https-cdn-ddns.itdeveloper.info.:88 FAIL   -        eu
2026-06-04T01:10:25.877758  185.83.210.141:8569            FAIL   -        eu
2026-06-04T01:10:25.894411  89.251.10.2:7443               FAIL   -        eu
2026-06-04T01:10:25.906032  178.105.240.27:8443            FAIL   -        eu
2026-06-04T01:10:25.918027  app.aftabneta2.ir:85           FAIL   -        eu
2026-06-04T01:10:25.936555  65.109.186.188:8443            FAIL   -        eu
2026-06-04T01:10:25.947744  World-press.Online-shop.speeker-voice.avadox-zhoan.info:144 FAIL   -        eu
2026-06-04T01:10:25.961462  148.251.35.0:8443              FAIL   -        eu
2026-06-04T01:10:25.977110  yazdan.htop.info:443           FAIL   -        eu
2026-06-04T01:10:25.978676  152.232.8.182:443              FAIL   -        eu
2026-06-04T01:10:26.003398  138.199.215.229:7443           FAIL   -        eu
2026-06-04T01:10:26.027519  56.228.13.198:15               FAIL   -        eu
2026-06-04T01:10:26.059733  db.road-digger.info.:8443      FAIL   -        eu
2026-06-04T01:10:26.167779  5.75.197.246:443               FAIL   -        eu
2026-06-04T01:10:26.269891  37.27.23.200:8443              FAIL   -        eu
2026-06-04T01:10:26.362312  thisis.tproxy.store:8443       FAIL   -        eu
2026-06-04T01:10:26.741056  dd.tgproxy.today:8080          FAIL   -        eu
------------------------------------------------------------

Top 20 fastest proxies:
  172.65.38.26:9443 | ping=0.003s | eu | zmvr#ipkgbuild.org
  172.65.130.177:25565 | ping=0.003s | eu | 
  iranroad.shop:25565 | ping=0.025s | eu | 
  proxy.speedbreaker.info:25565 | ping=0.027s | eu | 
  new.sitemcinet.co.uk:443 | ping=0.03s | eu | 
  fresh-c.gamelande.info.:25565 | ping=0.031s | eu | 
  bomberoo.shop:25565 | ping=0.036s | eu | 
  mimecraft4ir.homes:25565 | ping=0.039s | eu | 
  zara.telbet.lol:25565 | ping=0.065s | eu | 
  2.telbet.lol:25565 | ping=0.067s | eu | 
  tala.telbet.lol:25565 | ping=0.07s | eu | 
  3.telbet.lol:25565 | ping=0.09s | eu | 
  91.217.166.14:40 | ping=0.094s | eu | 
  91.217.166.12:40 | ping=0.095s | eu | 
  91.217.166.15:40 | ping=0.095s | eu | 
  91.217.166.11:16 | ping=0.095s | eu | 
  91.217.166.13:40 | ping=0.095s | eu | 
  91.217.166.12:16 | ping=0.095s | eu | 
  91.217.166.13:16 | ping=0.095s | eu | 
  91.217.166.11:40 | ping=0.099s | eu | 
